目录编号,视频ID,视频标题,视频URL,发布时间,发布时间_格式化,视频时长(s),作者昵称,作者ID,点赞数,收藏数,分享数,播放数,评论总数
098,7572380507174915363,开放大门越开越大，发展机遇世界共享！如今，中国已成为150多个国家和地区的主要贸易伙伴，货物贸易总额连续8年稳居全球第一。一起感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7572380507174915363,1763082242,2025-11-14 09:04:02,41,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5649,166,214,218304,27
024,7380899170124565795,累计开行突破90000列！飞驰吧，中欧班列～ #绘说现代化,https://www.douyin.com/video/7380899170124565795,1718499516,2024-06-16 08:58:36,78,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5555,290,471,392398,112
063,7481851479289122111,一年春作首，奋进正当时！卫星视角看奋进的春天！ #绘说现代化,https://www.douyin.com/video/7481851479289122111,1742004325,2025-03-15 10:05:25,59,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,5137,506,419,415686,529
021,7372772681235647780,向新而行！在辽宁，感受中国式现代化的磅礴力量🔥#行进看中国 #绘说现代化,https://www.douyin.com/video/7372772681235647780,1716607423,2024-05-25 11:23:43,76,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4965,185,188,276386,155
016,7359779242793569573,覆盖人群更广、保障能力更强，1分钟看医保如何守护全民健康❤️#绘说现代化,https://www.douyin.com/video/7359779242793569573,1713582145,2024-04-20 11:02:25,67,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4950,246,201,364149,199
091,7554930180825861410,你用的电可能是甘肃来的！ 电力输送全国26个省份，甘肃正在从“风光”大省向“风光”强省加速跨越👍#绘说现代化,https://www.douyin.com/video/7554930180825861410,1759019274,2025-09-28 08:27:54,52,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4671,125,269,169226,130
033,7404279789185436940,跨境电商跑出加速度、海外仓步入发展快车道…90秒了解开放中国🔥 #绘说现代化,https://www.douyin.com/video/7404279789185436940,1723943250,2024-08-18 09:07:30,97,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4628,239,244,277722,75
027,7388442389968325888,“宁”心聚力！数说“塞上江南”的中国式现代化！#绘说现代化,https://www.douyin.com/video/7388442389968325888,1720255812,2024-07-06 16:50:12,70,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4398,184,121,315787,43
036,7411739196726988047,我国在校生2.91亿人，研发人员总量居世界首位…教育强国，阔步前行！#绘说现代化,https://www.douyin.com/video/7411739196726988047,1725680020,2024-09-07 11:33:40,96,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4309,209,138,205005,115
020,7370214795678649634,土特产出圈撑起大产业！截至2023年底，全国已有180个优势特色产业集群👍一人说一个家乡特产吧！ #绘说现代化,https://www.douyin.com/video/7370214795678649634,1716011872,2024-05-18 13:57:52,74,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4205,146,112,257226,118
053,7455971603617189183,冰雪旅游“火”、冰雪产业“热”、冰雪运动“燃”…冰雪经济活力四射！这个冬天，你想去哪里看看？#绘说现代化,https://www.douyin.com/video/7455971603617189183,1735978784,2025-01-04 16:19:44,83,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4122,105,132,247723,81
058,7469214648441556278,尔滨正式进入“亚冬时间”， 听易烊千玺、单依纯演唱的《尔滨的雪》，感受龙江冰雪热辣滚烫！#绘说现代化,https://www.douyin.com/video/7469214648441556278,1739062091,2025-02-09 08:48:11,55,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4056,133,101,213920,118
038,7417312901037296911,100秒看丰收中国粮安天下！#绘说现代化,https://www.douyin.com/video/7417312901037296911,1726977748,2024-09-22 12:02:28,98,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,4015,130,147,172113,68
042,7427292024266558746,秋收正当时，处处好丰光！风吹麦浪遍地黄、万亩高粱别样红、稻鱼共生绿意浓...今年全国秋粮有望再获丰收🎉 #绘说现代化,https://www.douyin.com/video/7427292024266558746,1729301401,2024-10-19 09:30:01,97,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3683,153,96,199841,69
017,7361022180467002658,爱读书、读好书、善读书！去年我国人均阅读纸质书4.75本，你看了几本？#绘说现代化,https://www.douyin.com/video/7361022180467002658,1713871542,2024-04-23 19:25:42,79,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3504,148,86,255212,73
060,7474165837881036068,不止“风吹草低见牛羊”，冰雪内蒙古也很治愈！下一个冬天，我们不见不散！#绘说现代化,https://www.douyin.com/video/7474165837881036068,1740215032,2025-02-22 17:03:52,44,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3385,81,47,146266,54
037,7414405348548709695,80秒看中国能源底气十足🔥 点亮小心心，“加油”“打气”！ #绘说现代化,https://www.douyin.com/video/7414405348548709695,1726365600,2024-09-15 10:00:00,83,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3343,149,81,208353,68
089,7549899600288140579,水丰、光富、风好、地广…青海在绿电领域的第一也太多了吧！一起感受中国式现代化的磅礴力量！#绘说现代化@人民网青海频道,https://www.douyin.com/video/7549899600288140579,1757847985,2025-09-14 19:06:25,57,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3299,137,77,141051,95
035,7409470825398635816,今年我国快递量已突破1000亿件！快递加速度，点赞便利中国！ #绘说现代化,https://www.douyin.com/video/7409470825398635816,1725151880,2024-09-01 08:51:20,97,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3297,125,95,177656,62
082,7531575111590137115,大有可为大有前途！2024年，我国海洋经济总量首次突破10万亿元，较2012年翻一番！骄傲见证，海洋强国建设风帆正劲！#绘说现代化,https://www.douyin.com/video/7531575111590137115,1753581504,2025-07-27 09:58:24,48,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3272,126,81,168813,56
075,7513068623401995547,一起走进山水广西，感受中国式现代化的创新活力。#绘说现代化,https://www.douyin.com/video/7513068623401995547,1749272736,2025-06-07 13:05:36,44,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3200,121,107,178288,119
039,7419859025086418203,绿色共享！80秒打开低碳中国🌳 #绘说现代化,https://www.douyin.com/video/7419859025086418203,1727570593,2024-09-29 08:43:13,82,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3141,239,532,419816,27
041,7425243592555334964,这个国庆，文旅场景持续上新、多地赛事如火如荼、以旧换新激发潜力…假日经济的韧性和活力拉满了🔥#绘说现代化,https://www.douyin.com/video/7425243592555334964,1728824258,2024-10-13 20:57:38,102,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3119,89,53,183705,48
048,7443001784550935859,100秒看科技强国扎实推进！一起感受中国式现代化的磅礴力量！#绘说现代化,https://www.douyin.com/video/7443001784550935859,1733014800,2024-12-01 09:00:00,100,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3117,287,863,207555,61
064,7484832580353740071,中国人春耕的科技含量有多高？农机+北斗、植保+无人机…60秒打开万象“耕”新的春天👍#绘说现代化,https://www.douyin.com/video/7484832580353740071,1742698592,2025-03-23 10:56:32,68,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,3036,283,741,101743,94
008,7339123744855641382,2024年春节档电影票房超80亿元、春节假期国内旅游出游4.74亿人次......一起感受中国式现代化的磅礴力量！ #绘说现代化,https://www.douyin.com/video/7339123744855641382,1708772912,2024-02-24 19:08:32,61,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2968,139,79,213330,57
032,7401712744732331316,15分钟健身圈、每天1节体育课…全民健身蔚然成风，健康中国你我同行💪#绘说现代化,https://www.douyin.com/video/7401712744732331316,1723345554,2024-08-11 11:05:54,94,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2744,112,68,224326,31
059,7471833263019920679,吉林冰雪经济“花样”上新！想去的心情达到了顶峰🤩 #绘说现代化,https://www.douyin.com/video/7471833263019920679,1739671774,2025-02-16 10:09:34,38,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2652,79,49,174825,51
065,7487062983672188186,作为唯一没有平原的省份，贵州是如何种好田的？#绘说现代化  一起感受中国式现代化的磅礴力量！,https://www.douyin.com/video/7487062983672188186,1743217715,2025-03-29 11:08:35,47,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2596,103,123,104545,68
090,7552348084685131054,追“风”逐“绿”！ 宁夏“绿电”0.0054秒即可闪送湖南，为国家构建新型能源体系贡献宁夏力量！#绘说现代化,https://www.douyin.com/video/7552348084685131054,1758418087,2025-09-21 09:28:07,56,人民网,MS4wLjABAAAA-Hb-4F9Y2cX_D0VZapSrRQ71BarAcaE1AUDI5gkZBEY,2578,101,63,78920,61
